tool	dealer	city	province	model	title	status	vin	stock	trim	drivetrain	exterior	interior	sellingPrice	msrp	manufacturerRebate	marchBonus	adminFee	omvicFee	tireFee	discount	verdict	source_url	detail_url
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/Premium Package AWD	In-Stock	KNDADFS51T6069737	16391	Land w/Premium Package AWD	AWD	Snow White Pearl	Brown	78646	75495			599	22	30.20	-3151	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/143791/2026-Kia-EV9-Land-wPremium-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/Premium Package AWD	In-Stock	KNDADFS5XT6070630	8520	Land w/Premium Package AWD	AWD	Ivory Silver	Black	78646	75495			599	22	30.20	-3151	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/145745/2026-Kia-EV9-Land-wPremium-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV6	2025 Kia EV6 Land AWD	Incoming Vehicle	5XYC3DJC8SG004234	16457	Land AWD	AWD	Runway Red	Black		58495	3000		599	22	30.20		REJECT_OR_RECHECK	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/141593/2025-Kia-EV6-Land-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/Plus Package AWD	In-Stock	KNDADFS5XT6071695	16459	Land w/Plus Package AWD	AWD	Panthera Metal	BLACK	73646	70495			599	22	30.20	-3151	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146296/2026-Kia-EV9-Land-wPlus-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/Plus Package AWD	In-Stock	KNDADFS54T6074060	16535	Land w/Plus Package AWD	AWD	Ivory Silver	Brown	78646	75495			599	22	30.20	-3151	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146950/2026-Kia-EV9-Land-wPlus-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/Premium Package AWD	In-Stock	KNDADFS50T6074041	16534	Land w/Premium Package AWD	AWD	Ivory Silver	BLACK	78646	75495			599	22	30.20	-3151	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/147570/2026-Kia-EV9-Land-wPremium-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/Plus Package AWD	In-Stock	KNDADFS57T6076207	16603	Land w/Plus Package AWD	AWD		Black	73396	70495			599	22	30.20	-2901	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/148649/2026-Kia-EV9-Land-wPlus-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/GT-Line Package AWD	In-Stock	KNDAEFS5XT6077672	8809	Land w/GT-Line Package AWD	AWD	Aurora Black	Black	82396	79495			599	22	30.20	-2901	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150045/2026-Kia-EV9-Land-wGT-Line-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/GT-Line Package AWD	In-Stock	KNDAEFS55T6077692	8812	Land w/GT-Line Package AWD	AWD	Snow White Pearl	Brown	82646	79495			599	22	30.20	-3151	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150048/2026-Kia-EV9-Land-wGT-Line-Package-AWD
Bank Street list parser	Bank Street Kia	Ottawa	Ontario	EV9	2026 Kia EV9 Land w/Premium Package AWD	In-Stock	KNDADFS58T6078225	8813	Land w/Premium Package AWD	AWD	Aurora Black	Brown	78396	75495			599	22	30.20	-2901	ACCEPT_CANDIDATE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list?model=EV6~EV9&type=N	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150049/2026-Kia-EV9-Land-wPremium-Package-AWD
