Snapshot Date	VIN	Dealer	Model	Trim	Asking Price CAD	MSRP CAD	Discount CAD	Discount %	Listing URL	Source Tool
2026-05-01	KM8KNDDC5TU408198	Pathway Hyundai	Hyundai Ioniq 5	Preferred	61013	59901	-1112	-1.86%	https://www.pathwayhyundai.com/2026/Hyundai/IONIQ-5/KM8KNDDC5TU408198/	Native Node fetch + Firecrawl cross-check
2026-05-01	KM8KRDDC7TU382126	Neddy's North Bay Hyundai	Hyundai Ioniq 5	Preferred	66720	65899	-821	-1.25%	https://www.neddysnorthbayhyundai.ca/inventory/2026-hyundai-ioniq-5/13025872	Native Node fetch + Firecrawl evidence cross-check
2026-05-01	KNDADFS51T6069737	Bank Street Kia	Kia EV9	Land w/Premium Package AWD	78646	75495	-3151	-4.17%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/143791/2026-Kia-EV9-Land-wPremium-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDADFS5XT6070630	Bank Street Kia	Kia EV9	Land w/Premium Package AWD	78646	75495	-3151	-4.17%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/145745/2026-Kia-EV9-Land-wPremium-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDADFS5XT6071695	Bank Street Kia	Kia EV9	Land w/Plus Package AWD	73646	70495	-3151	-4.47%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146296/2026-Kia-EV9-Land-wPlus-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDADFS54T6074060	Bank Street Kia	Kia EV9	Land w/Plus Package AWD	78646	75495	-3151	-4.17%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146950/2026-Kia-EV9-Land-wPlus-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDADFS50T6074041	Bank Street Kia	Kia EV9	Land w/Premium Package AWD	78646	75495	-3151	-4.17%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/147570/2026-Kia-EV9-Land-wPremium-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDADFS57T6076207	Bank Street Kia	Kia EV9	Land w/Plus Package AWD	73396	70495	-2901	-4.12%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/148649/2026-Kia-EV9-Land-wPlus-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDAEFS5XT6077672	Bank Street Kia	Kia EV9	Land w/GT-Line Package AWD	82396	79495	-2901	-3.65%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150045/2026-Kia-EV9-Land-wGT-Line-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDAEFS55T6077692	Bank Street Kia	Kia EV9	Land w/GT-Line Package AWD	82646	79495	-3151	-3.96%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150048/2026-Kia-EV9-Land-wGT-Line-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDADFS58T6078225	Bank Street Kia	Kia EV9	Land w/Premium Package AWD	78396	75495	-2901	-3.84%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150049/2026-Kia-EV9-Land-wPremium-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDADFS58T6078242	Bank Street Kia	Kia EV9	Land w/Premium Package AWD	78646	75495	-3151	-4.17%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150051/2026-Kia-EV9-Land-wPremium-Package-AWD	Bank Street Kia public inventory list parser
2026-05-01	KNDAEFS56T6077667	Bank Street Kia	Kia EV9	Land w/GT-Line Package AWD	82396	79495	-2901	-3.65%	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/149578/2026-Kia-EV9-Land-wGT-Line-Package-AWD	Bank Street Kia public inventory list parser
