Snapshot Date	Province	Dealer Name	Dealer City	VIN	Stock Number	Brand	Model	Model Year	Trim	Drivetrain	Asking Price CAD	Exterior Colour	Interior Colour	Days on Lot	Listing Status	Listing URL	Validation Status	Source URL	Base MSRP CAD	Freight/PDI CAD	Dealer Fees CAD	Promo Type	Promo Details	Promo Expiry	OEM Incentive CAD	Gov Incentive CAD	Price Evidence Text	Window Sticker URL	OEM Offer URL	Checked At	Free Source Path	Extraction Notes
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS51T6069737	16391	Kia	Kia EV9	2026	Land w/Premium Package AWD	AWD	78646	Snow White Pearl	Brown	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/143791/2026-Kia-EV9-Land-wPremium-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/143791/2026-Kia-EV9-Land-wPremium-Package-AWD	75495	UNKNOWN	3151.00	None visible	Selling price $78646 includes delivery, destination, and fees; MSRP component is $75495 and total source-backed benchmark extras are $3151.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS51T6069737; stock 16391; selling price $78646; MSRP $75495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS5XT6070630	8520	Kia	Kia EV9	2026	Land w/Premium Package AWD	AWD	78646	Ivory Silver	Black	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/145745/2026-Kia-EV9-Land-wPremium-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/145745/2026-Kia-EV9-Land-wPremium-Package-AWD	75495	UNKNOWN	3151.00	None visible	Selling price $78646 includes delivery, destination, and fees; MSRP component is $75495 and total source-backed benchmark extras are $3151.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS5XT6070630; stock 8520; selling price $78646; MSRP $75495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS5XT6071695	16459	Kia	Kia EV9	2026	Land w/Plus Package AWD	AWD	73646	Panthera Metal	BLACK	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146296/2026-Kia-EV9-Land-wPlus-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146296/2026-Kia-EV9-Land-wPlus-Package-AWD	70495	UNKNOWN	3151.00	None visible	Selling price $73646 includes delivery, destination, and fees; MSRP component is $70495 and total source-backed benchmark extras are $3151.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS5XT6071695; stock 16459; selling price $73646; MSRP $70495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS54T6074060	16535	Kia	Kia EV9	2026	Land w/Plus Package AWD	AWD	78646	Ivory Silver	Brown	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146950/2026-Kia-EV9-Land-wPlus-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/146950/2026-Kia-EV9-Land-wPlus-Package-AWD	75495	UNKNOWN	3151.00	None visible	Selling price $78646 includes delivery, destination, and fees; MSRP component is $75495 and total source-backed benchmark extras are $3151.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS54T6074060; stock 16535; selling price $78646; MSRP $75495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS50T6074041	16534	Kia	Kia EV9	2026	Land w/Premium Package AWD	AWD	78646	Ivory Silver	BLACK	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/147570/2026-Kia-EV9-Land-wPremium-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/147570/2026-Kia-EV9-Land-wPremium-Package-AWD	75495	UNKNOWN	3151.00	None visible	Selling price $78646 includes delivery, destination, and fees; MSRP component is $75495 and total source-backed benchmark extras are $3151.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS50T6074041; stock 16534; selling price $78646; MSRP $75495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS57T6076207	16603	Kia	Kia EV9	2026	Land w/Plus Package AWD	AWD	73396	UNKNOWN	Black	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/148649/2026-Kia-EV9-Land-wPlus-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/148649/2026-Kia-EV9-Land-wPlus-Package-AWD	70495	UNKNOWN	2901.00	None visible	Selling price $73396 includes delivery, destination, and fees; MSRP component is $70495 and total source-backed benchmark extras are $2901.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS57T6076207; stock 16603; selling price $73396; MSRP $70495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDAEFS5XT6077672	8809	Kia	Kia EV9	2026	Land w/GT-Line Package AWD	AWD	82396	Aurora Black	Black	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150045/2026-Kia-EV9-Land-wGT-Line-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150045/2026-Kia-EV9-Land-wGT-Line-Package-AWD	79495	UNKNOWN	2901.00	None visible	Selling price $82396 includes delivery, destination, and fees; MSRP component is $79495 and total source-backed benchmark extras are $2901.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDAEFS5XT6077672; stock 8809; selling price $82396; MSRP $79495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDAEFS55T6077692	8812	Kia	Kia EV9	2026	Land w/GT-Line Package AWD	AWD	82646	Snow White Pearl	Brown	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150048/2026-Kia-EV9-Land-wGT-Line-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150048/2026-Kia-EV9-Land-wGT-Line-Package-AWD	79495	UNKNOWN	3151.00	None visible	Selling price $82646 includes delivery, destination, and fees; MSRP component is $79495 and total source-backed benchmark extras are $3151.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDAEFS55T6077692; stock 8812; selling price $82646; MSRP $79495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS58T6078225	8813	Kia	Kia EV9	2026	Land w/Premium Package AWD	AWD	78396	Aurora Black	Brown	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150049/2026-Kia-EV9-Land-wPremium-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150049/2026-Kia-EV9-Land-wPremium-Package-AWD	75495	UNKNOWN	2901.00	None visible	Selling price $78396 includes delivery, destination, and fees; MSRP component is $75495 and total source-backed benchmark extras are $2901.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS58T6078225; stock 8813; selling price $78396; MSRP $75495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
2026-05-01	Ontario	Bank Street Kia	Ottawa	KNDADFS58T6078242	8815	Kia	Kia EV9	2026	Land w/Premium Package AWD	AWD	78646	Pebble Grey	Black	UNKNOWN	NEW_AVAILABLE	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150051/2026-Kia-EV9-Land-wPremium-Package-AWD	VIN_PRICE_MSRP_SOURCE_BACKED_VPIC_PARTIAL_OR_ERROR	https://www.bankstreetkia.com/ottawa-Kia-dealer/new-car-inventory-list/150051/2026-Kia-EV9-Land-wPremium-Package-AWD	75495	UNKNOWN	3151.00	None visible	Selling price $78646 includes delivery, destination, and fees; MSRP component is $75495 and total source-backed benchmark extras are $3151.00.	UNKNOWN	UNKNOWN	UNKNOWN	Status In-Stock; VIN KNDADFS58T6078242; stock 8815; selling price $78646; MSRP $75495; admin fee $599; OMVIC $22; tire/oil levy $30.20.	UNKNOWN	https://www.kia.ca/en/shopping-tools/special-offers	2026-05-01	Bank Street Kia public inventory list parser + NHTSA vPIC batch QA	vPIC returned Kia Corporation/2026/MPV but error codes 3/5 and/or 14 for these Canadian Kia EV9 VINs; dealer page supplies VIN/model/trim/price evidence.
